user_id,total_views,unique_channels,last_view_date
820443,3,2,2016-03-05T16:01:00.000Z
919220,1,1,2016-03-28T09:58:00.000Z
919222,1,1,2016-03-26T17:25:00.000Z
831788,3,2,2016-03-06T20:37:00.000Z
866231,2,1,2016-03-15T15:13:00.000Z
930066,1,1,2016-03-29T15:41:00.000Z
892557,1,1,2016-03-09T13:36:00.000Z
831789,5,5,2016-03-05T20:20:00.000Z
892558,2,2,2016-03-24T17:03:00.000Z
930067,1,1,2016-03-30T08:49:00.000Z
868982,1,1,2016-03-12T08:50:00.000Z
809028,2,2,2016-02-18T09:20:00.000Z
1445,2,2,2016-03-06T15:47:00.000Z
2023963,1,1,2016-03-04T19:34:00.000Z
880319,1,1,2016-03-30T11:07:00.000Z
868986,2,2,2016-03-15T13:53:00.000Z
939694,2,2,2016-03-27T12:24:00.000Z
370637,1,1,2016-01-18T13:58:00.000Z
808003,1,1,2016-02-28T08:25:00.000Z
805455,1,1,2016-02-23T12:09:00.000Z
939695,3,3,2016-01-14T16:16:00.000Z
919229,2,1,2016-03-29T10:42:00.000Z
793670,4,4,2016-01-29T16:37:00.000Z
2359771,4,2,2016-01-22T10:21:00.000Z
809034,2,2,2016-03-03T05:39:00.000Z
793672,1,1,2016-01-21T16:30:00.000Z
809035,4,3,2016-03-03T04:41:00.000Z
939699,1,1,2016-03-01T12:55:00.000Z
597268,8,5,2016-01-10T15:02:00.000Z
882376,1,1,2016-03-19T14:14:00.000Z
866244,6,3,2016-03-25T19:36:00.000Z
788744,2,2,2016-01-18T09:35:00.000Z
771902,1,1,2016-01-15T18:35:00.000Z
771903,1,1,2016-03-27T15:12:00.000Z
747690,1,1,2016-01-16T18:49:00.000Z
779485,7,5,2016-02-04T21:35:00.000Z
736517,2,1,2016-01-24T10:04:00.000Z
779486,1,1,2016-01-09T03:28:00.000Z
939702,1,1,2016-03-04T19:02:00.000Z
764429,2,2,2016-02-27T19:44:00.000Z
742848,3,3,2016-02-09T19:10:00.000Z
859379,1,1,2016-03-11T07:38:00.000Z
2285664,2,2,2016-03-26T10:02:00.000Z
777129,1,1,2016-01-10T19:09:00.000Z
771907,1,1,2016-02-09T17:45:00.000Z
720398,1,1,2016-01-20T17:22:00.000Z
819332,1,1,2016-03-06T20:44:00.000Z
771048,2,2,2016-02-06T20:34:00.000Z
820456,1,1,2016-01-27T15:30:00.000Z
809039,3,2,2016-02-19T17:57:00.000Z
865408,1,1,2016-03-16T17:59:00.000Z
831810,2,2,2016-03-06T12:12:00.000Z
904273,1,1,2016-03-24T05:45:00.000Z
904274,3,2,2016-03-31T08:04:00.000Z
2420980,2,2,2016-03-21T09:48:00.000Z
788751,1,1,2016-02-01T21:35:00.000Z
892573,1,1,2016-03-19T16:53:00.000Z
809043,3,2,2016-03-06T12:46:00.000Z
939712,2,2,2016-03-23T06:16:00.000Z
817317,6,6,2016-03-25T13:54:00.000Z
771911,6,5,2016-03-08T10:23:00.000Z
916065,1,1,2016-03-26T09:01:00.000Z
2360384,10,5,2016-03-16T12:10:00.000Z
809045,2,2,2016-02-27T19:56:00.000Z
859389,1,1,2016-03-26T16:15:00.000Z
866255,1,1,2016-03-05T12:04:00.000Z
939713,1,1,2016-03-04T21:06:00.000Z
892577,2,1,2016-03-21T07:05:00.000Z
893061,6,2,2016-03-27T07:50:00.000Z
779489,1,1,2016-03-03T02:28:00.000Z
865413,2,1,2016-03-19T11:40:00.000Z
809047,2,1,2016-03-31T21:42:00.000Z
737179,1,1,2016-01-24T11:40:00.000Z
930093,1,1,2016-03-30T19:40:00.000Z
922283,1,1,2016-03-28T15:12:00.000Z
850779,1,1,2016-03-03T15:42:00.000Z
930094,2,2,2016-03-29T15:32:00.000Z
831815,1,1,2016-03-03T12:41:00.000Z
642504,1,1,2016-03-30T06:07:00.000Z
809048,5,4,2016-03-09T13:18:00.000Z
904295,1,1,2016-03-24T16:44:00.000Z
930097,1,1,2016-03-30T15:04:00.000Z
939717,2,2,2016-03-30T08:10:00.000Z
904299,3,1,2016-03-30T12:04:00.000Z
531053,1,1,2016-01-11T07:09:00.000Z
2368559,5,3,2016-02-19T19:26:00.000Z
779500,2,2,2016-02-14T06:00:00.000Z
2425806,2,2,2016-02-03T15:38:00.000Z
831820,3,2,2016-03-13T14:35:00.000Z
521247,2,2,2016-01-08T12:25:00.000Z
621328,1,1,2016-01-13T20:02:00.000Z
892587,2,1,2016-03-20T16:37:00.000Z
