SUBID,month_id,watch_date,watch_time,month,day_name,day_type,month_Name,Tv_Channel,Time_of_day,Duration,Usage_level,hour_of_day,Region,Age,Age_Group,Email_flag,Social_Media_flag,Gender,Race
808826,2016-03-11,2016-03-11,12:19:00,2016-03,Fri,weekday,Mar,Africa Magic,03 afternoon,00:00:01,05 extreme usage:>2 hrs,12,None,0,infant,1,1,None,None
808826,2016-03-14,2016-03-14,06:19:00,2016-03,Mon,weekday,Mar,Supersport Live Events,02 morning,00:00:10,05 extreme usage:>2 hrs,6,None,0,infant,1,1,None,None
808826,2016-03-16,2016-03-16,10:33:00,2016-03,Wed,weekday,Mar,SuperSport Blitz,02 morning,00:00:08,05 extreme usage:>2 hrs,10,None,0,infant,1,1,None,None
808826,2016-03-16,2016-03-16,12:47:00,2016-03,Wed,weekday,Mar,Trace TV,03 afternoon,00:04:48,05 extreme usage:>2 hrs,12,None,0,infant,1,1,None,None
810563,2016-02-20,2016-02-20,14:41:00,2016-02,Sat,weekday,Feb,SawSee,03 afternoon,00:00:22,05 extreme usage:>2 hrs,14,Gauteng,29,youth,1,1,male,black
810563,2016-03-14,2016-03-14,19:31:00,2016-03,Mon,weekday,Mar,Trace TV,04 evening,00:02:06,05 extreme usage:>2 hrs,19,Gauteng,29,youth,1,1,male,black
810563,2016-03-06,2016-03-06,17:31:00,2016-03,Sun,weekday,Mar,SuperSport Blitz,03 afternoon,00:01:28,05 extreme usage:>2 hrs,17,Gauteng,29,youth,1,1,male,black
810563,2016-03-15,2016-03-15,19:48:00,2016-03,Tue,weekday,Mar,Trace TV,04 evening,00:06:21,05 extreme usage:>2 hrs,19,Gauteng,29,youth,1,1,male,black
810564,2016-02-22,2016-02-22,20:23:00,2016-02,Mon,weekday,Feb,Boomerang,04 evening,00:01:18,05 extreme usage:>2 hrs,20,Western Cape,37,adult,1,1,male,coloured
810565,2016-02-09,2016-02-09,06:21:00,2016-02,Tue,weekday,Feb,SawSee,02 morning,00:00:39,05 extreme usage:>2 hrs,6,Gauteng,44,adult,1,1,male,black
810565,2016-03-15,2016-03-15,19:12:00,2016-03,Tue,weekday,Mar,Africa Magic,04 evening,00:00:44,05 extreme usage:>2 hrs,19,Gauteng,44,adult,1,1,male,black
795809,2016-03-30,2016-03-30,08:43:00,2016-03,Wed,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:01:44,05 extreme usage:>2 hrs,8,Gauteng,36,adult,1,1,male,indian_asian
795809,2016-03-25,2016-03-25,13:55:00,2016-03,Fri,weekday,Mar,ICC Cricket World Cup 2011,03 afternoon,00:14:38,05 extreme usage:>2 hrs,13,Gauteng,36,adult,1,1,male,indian_asian
795809,2016-03-26,2016-03-26,08:43:00,2016-03,Sat,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:07:46,05 extreme usage:>2 hrs,8,Gauteng,36,adult,1,1,male,indian_asian
941484,2016-02-02,2016-02-02,20:31:00,2016-02,Tue,weekday,Feb,SuperSport Blitz,04 evening,00:03:30,05 extreme usage:>2 hrs,20,North West,41,adult,1,1,male,black
803296,2016-03-29,2016-03-29,11:36:00,2016-03,Tue,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:14:14,05 extreme usage:>2 hrs,11,None,0,infant,1,1,None,None
2362014,2016-02-13,2016-02-13,15:40:00,2016-02,Sat,weekday,Feb,Africa Magic,03 afternoon,00:00:14,05 extreme usage:>2 hrs,15,Gauteng,59,elder,1,1,male,black
833521,2016-03-02,2016-03-02,11:40:00,2016-03,Wed,weekday,Mar,Trace TV,02 morning,00:01:48,05 extreme usage:>2 hrs,11,North West,33,youth,1,1,male,black
792539,2016-02-20,2016-02-20,10:28:00,2016-02,Sat,weekday,Feb,ICC Cricket World Cup 2011,02 morning,00:01:08,05 extreme usage:>2 hrs,10,Free State,31,youth,1,1,male,white
780656,2016-02-15,2016-02-15,16:25:00,2016-02,Mon,weekday,Feb,CNN,03 afternoon,00:13:30,05 extreme usage:>2 hrs,16,Gauteng,45,adult,1,1,male,black
780657,2016-02-07,2016-02-07,13:16:00,2016-02,Sun,weekday,Feb,CNN,03 afternoon,00:04:34,05 extreme usage:>2 hrs,13,Western Cape,48,adult,1,1,male,black
780657,2016-02-08,2016-02-08,16:18:00,2016-02,Mon,weekday,Feb,Africa Magic,03 afternoon,00:00:28,05 extreme usage:>2 hrs,16,Western Cape,48,adult,1,1,male,black
810568,2016-02-15,2016-02-15,19:43:00,2016-02,Mon,weekday,Feb,Supersport Live Events,04 evening,00:01:34,05 extreme usage:>2 hrs,19,Gauteng,40,adult,1,1,male,black
810568,2016-02-25,2016-02-25,19:25:00,2016-02,Thu,weekday,Feb,Supersport Live Events,04 evening,00:00:20,05 extreme usage:>2 hrs,19,Gauteng,40,adult,1,1,male,black
810568,2016-03-20,2016-03-20,16:31:00,2016-03,Sun,weekday,Mar,Supersport Live Events,03 afternoon,00:00:24,05 extreme usage:>2 hrs,16,Gauteng,40,adult,1,1,male,black
810568,2016-03-09,2016-03-09,10:35:00,2016-03,Wed,weekday,Mar,Africa Magic,02 morning,00:00:07,05 extreme usage:>2 hrs,10,Gauteng,40,adult,1,1,male,black
469412,2016-01-08,2016-01-08,16:18:00,2016-01,Fri,weekday,Jan,Supersport Live Events,03 afternoon,00:02:22,05 extreme usage:>2 hrs,16,Western Cape,46,adult,1,1,male,None
810569,2016-02-20,2016-02-20,18:27:00,2016-02,Sat,weekday,Feb,Supersport Live Events,04 evening,00:41:12,05 extreme usage:>2 hrs,18,Western Cape,34,youth,1,1,male,black
810569,2016-02-23,2016-02-23,23:10:00,2016-02,Tue,weekday,Feb,CNN,04 evening,00:01:53,05 extreme usage:>2 hrs,23,Western Cape,34,youth,1,1,male,black
810569,2016-03-03,2016-03-03,23:12:00,2016-03,Thu,weekday,Mar,CNN,04 evening,00:14:59,05 extreme usage:>2 hrs,23,Western Cape,34,youth,1,1,male,black
810569,2016-01-09,2016-01-09,06:22:00,2016-01,Sat,weekday,Jan,SuperSport Blitz,02 morning,00:04:10,05 extreme usage:>2 hrs,6,Western Cape,34,youth,1,1,male,black
773368,2016-03-23,2016-03-23,16:51:00,2016-03,Wed,weekday,Mar,SuperSport Blitz,03 afternoon,00:16:20,05 extreme usage:>2 hrs,16,Gauteng,39,adult,1,1,male,black
773368,2016-03-20,2016-03-20,10:45:00,2016-03,Sun,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:09:22,05 extreme usage:>2 hrs,10,Gauteng,39,adult,1,1,male,black
1771036,2016-02-16,2016-02-16,17:10:00,2016-02,Tue,weekday,Feb,SuperSport Blitz,03 afternoon,00:00:00,05 extreme usage:>2 hrs,17,Limpopo,37,adult,1,1,male,black
813903,2016-02-26,2016-02-26,20:03:00,2016-02,Fri,weekday,Feb,Africa Magic,04 evening,00:00:00,05 extreme usage:>2 hrs,20,North West,61,pensioner,1,1,male,None
941488,2016-03-28,2016-03-28,18:10:00,2016-03,Mon,weekday,Mar,Supersport Live Events,04 evening,00:01:26,05 extreme usage:>2 hrs,18,Gauteng,39,adult,1,1,male,indian_asian
941488,2016-03-29,2016-03-29,08:12:00,2016-03,Tue,weekday,Mar,Cartoon Network,02 morning,00:25:30,05 extreme usage:>2 hrs,8,Gauteng,39,adult,1,1,male,indian_asian
941488,2016-03-29,2016-03-29,10:03:00,2016-03,Tue,weekday,Mar,ICC Cricket World Cup 2011,02 morning,00:00:00,05 extreme usage:>2 hrs,10,Gauteng,39,adult,1,1,male,indian_asian
822319,2016-02-01,2016-02-01,15:26:00,2016-02,Mon,weekday,Feb,Channel O,03 afternoon,00:02:15,05 extreme usage:>2 hrs,15,Gauteng,64,pensioner,1,1,female,black
